2401	29.1	9.6	4.4	chr1	31561489	31562050	(217394372)	C	L1MEd	LINE/L1	(5804)	1317	743
3219	21.0	6.1	6.1	chr1	37772376	37772611	(211183811)	+	L1MEg	LINE/L1	925	1170	(4914)
2311	22.6	7.4	6.8	chr1	45821200	45821508	(203134914)	C	L1M4	LINE/L1	(5585)	1932	1601
2522	22.2	6.2	6.6	chr1	64561876	64562365	(184394057)	C	L1MEf	LINE/L1	(4706)	1494	1018
1083	25.2	2.1	5.0	chr1	228243761	228244198	(20712224)	C	L1MEg	LINE/L1	(4567)	1517	1093
1181	22.8	1.9	4.6	chr1	228244879	228245315	(20711107)	C	L1MEg	LINE/L1	(4567)	1517	1093
1175	25.7	0.9	3.9	chr1	228245994	228246431	(20709991)	C	L1MEg	LINE/L1	(4567)	1517	1093
4210	25.0	6.5	1.0	chr1	234437555	234439543	(14516879)	+	L1MEf	LINE/L1	26	2480	(4160)
4230	20.7	5.1	3.9	chr1	236779288	236779709	(12176713)	+	L1M4	LINE/L1	1514	1935	(5582)
5710	23.4	11.2	3.6	chr1	244400763	244401467	(4554955)	C	L1M4	LINE/L1	(5504)	2013	1223
7848	19.6	5.1	7.6	chr10	21934834	21936034	(111861388)	+	L1M4	LINE/L1	1008	2266	(5425)
4399	23.8	6.1	2.3	chr10	132212753	132215024	(1582398)	+	L1MCa	LINE/L1	7	2562	(4098)
383	28.2	17.2	3.7	chr11	108768594	108769109	(26317513)	C	L1MEd	LINE/L1	(5143)	1943	1344
1097	24.7	11.9	3.4	chr11	108769123	108769737	(26316885)	C	L1MEd	LINE/L1	(5810)	1276	603
4615	24.0	8.4	10.9	chr11	117454009	117454164	(17632458)	C	L1MEg	LINE/L1	(4927)	1315	1147
1409	23.9	13.1	8.6	chr12	1675840	1676421	(131598888)	C	L1MEd	LINE/L1	(5431)	1690	1123
613	24.6	10.9	9.4	chr12	76078638	76079243	(57196066)	+	L1MEd	LINE/L1	957	1572	(5549)
2396	26.4	6.7	8.1	chr12	100422814	100423436	(32851873)	C	L1MEg	LINE/L1	(4958)	1126	525
3839	23.9	5.1	8.1	chr12	117013906	117015400	(16259909)	C	L1MEf	LINE/L1	(4954)	1686	26
1053	24.6	10.5	3.7	chr13	26596380	26596974	(87767354)	C	L1MEg	LINE/L1	(4699)	1385	746
10886	14.9	4.0	3.3	chr13	28513256	28514282	(85850046)	C	L1MCa	LINE/L1	(4483)	2025	998
1076	29.8	7.0	4.3	chr13	79395769	79396227	(34968101)	+	L1MEf	LINE/L1	1448	1908	(4752)
699	27.9	5.8	3.0	chr13	80589510	80589766	(33774562)	C	L1MEg	LINE/L1	(4854)	1346	1042
2514	22.7	11.1	8.5	chr14	73383167	73383733	(33659985)	+	L1MEg	LINE/L1	665	1305	(4779)
2092	25.0	6.7	4.7	chr15	67351378	67352866	(34638323)	C	L1MEd	LINE/L1	(4867)	2254	1233
1712	21.1	9.5	1.9	chr15	67905584	67906194	(34084995)	C	L1MEg	LINE/L1	(5520)	1601	910
